Treatment,Mother,Mass,SVL,Gestation,Litter_size
treatment,118,1.476,16.4,93,27
treatment,118,1.407,16.2,93,27
treatment,118,1.469,15.9,93,27
treatment,118,1.475,16.1,93,27
treatment,118,1.27,15.2,93,27
treatment,118,1.38,15.6,93,27
treatment,118,1.428,16,93,27
treatment,118,1.231,15,93,27
treatment,118,1.564,16.6,93,27
treatment,118,1.436,15.7,93,27
treatment,118,1.406,15.9,93,27
treatment,118,1.381,15.3,93,27
treatment,118,1.496,16.4,93,27
treatment,118,1.297,15.4,93,27
treatment,118,1.389,16.1,93,27
treatment,118,1.146,14.6,93,27
treatment,118,1.387,15.3,93,27
treatment,118,1.436,15.8,93,27
treatment,118,1.19,15.2,93,27
treatment,118,1.545,16.6,93,27
treatment,118,1.319,15.9,93,27
treatment,118,1.225,15.6,93,27
treatment,118,1.178,15.5,93,27
treatment,118,1.497,15.8,93,27
treatment,118,1.399,16,93,27
treatment,118,1.435,15.8,93,27
treatment,118,1.462,16.5,93,27
treatment,170,1.267,15,94,21
treatment,170,1.5,15,94,21
treatment,170,1.324,15.7,94,21
treatment,170,1.314,15.3,94,21
treatment,170,1.395,16.2,94,21
treatment,170,1.62,14.4,94,21
treatment,170,1.277,15.4,94,21
treatment,170,1.25,15.4,94,21
treatment,170,1.251,15.6,94,21
treatment,170,1.242,15,94,21
treatment,170,1.26,15.4,94,21
treatment,170,1.255,15.5,94,21
treatment,170,1.25,15.4,94,21
treatment,170,1.273,15.3,94,21
treatment,170,1.152,14.5,94,21
treatment,170,1.271,15.3,94,21
treatment,170,1.304,15.6,94,21
treatment,170,1.201,15.2,94,21
treatment,170,1.095,14.4,94,21
treatment,170,1.21,15.1,94,21
treatment,170,1.319,15.3,94,21
treatment,120,1.536,15.5,94,15
treatment,120,1.435,15.7,94,15
treatment,120,1.447,15.2,94,15
treatment,120,1.419,14.9,94,15
treatment,120,1.45,15.3,94,15
treatment,120,1.463,15.8,94,15
treatment,120,1.434,15.9,94,15
treatment,120,1.515,15.7,94,15
treatment,120,1.405,15.7,94,15
treatment,120,1.474,15.4,94,15
treatment,120,1.334,15.1,94,15
treatment,120,1.483,15.9,94,15
treatment,120,1.535,15.3,94,15
treatment,120,1.585,15.4,94,15
